PLACEID,PLACE,EVENT START DATE,TARGET(2018_month),MONTH,EVENT END DATE
101,Southern Ontario,26/04/1937 12:00:00 AM,1,4,28/04/1937 12:00:00 AM
101,Southern Ontario,13/01/1937 12:00:00 AM,0,1,14/01/1937 12:00:00 AM
12,New Brunswick,16/03/1936 12:00:00 AM,1,3,25/03/1936 12:00:00 AM
101,Southern Ontario,10/3/1936 0:00,0,3,12/3/1936 0:00
166,Nova Scotia,10/1/1935 0:00,1,1,15/01/1935 12:00:00 AM
183,Plaster Rock NB,16/04/1934 12:00:00 AM,0,4,24/04/1934 12:00:00 AM
12,Southern New Brunswick,25/10/1933 12:00:00 AM,1,10,25/10/1933 12:00:00 AM
12,New Brunswick and Eastern Quebec,4/5/1933 0:00,0,5,4/5/1933 0:00
101,Southern Ontario,5/4/1929 0:00,1,4,9/4/1929 0:00
101,Southern Ontario,18/01/1929 12:00:00 AM,1,1,20/01/1929 12:00:00 AM
184,Pike Lake SK,1/4/1928 0:00,0,4,1/4/1928 0:00
185,"Rideau, Chaudière and Quyon Rivers QC",1/1/1928 0:00,1,1,1/1/1928 0:00
150,Dawson YT,7/5/1925 0:00,0,5,7/5/1925 0:00
132,Saint John River Basin NB,29/04/1923 12:00:00 AM,1,5,9/5/1923 0:00
33,Winnipeg MB,1/1/1923 0:00,0,1,1/1/1923 0:00
132,Saint John River Basin NB,17/06/1922 12:00:00 AM,1,6,25/06/1922 12:00:00 AM
151,Southwestern Ontario,17/03/1920 12:00:00 AM,1,3,21/03/1920 12:00:00 AM
71,Northwestern British Columbia,28/10/1917 12:00:00 AM,0,11,19/11/1917 12:00:00 AM
33,Winnipeg MB,24/04/1916 12:00:00 AM,1,4,24/04/1916 12:00:00 AM
12,Northeastern New Brunswick,8/7/1915 0:00,0,7,9/7/1915 0:00
102,North Saskatchewan River AB and SK,1/1/1915 0:00,1,1,1/1/1915 0:00
186,Chester NB,4/1/1909 0:00,0,1,4/1/1909 0:00
187,Red River MB,24/04/1904 12:00:00 AM,1,4,24/04/1904 12:00:00 AM
132,Saint John River Basin NB,1/3/1902 0:00,1,3,1/3/1902 0:00
